Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
10,Barcelona,3.418591266673245,-0.4796548431315248,-0.6698068986061579,-0.1269963923772892,0.0452649116623097,-0.6018668514545878,-0.1418524072035273,0.0096050027968953,-1.1542277396502294,0.1667900959357863,-0.264809634889286,-0.4093093708534929,0.3200477723212654,-0.2648174639124953,-0.4093113068185849,2.783013548998848,0.1939448612110256,2.182681768586524,-0.1322541511408309,0.3896251132530387,0.7303728974830118,0.6571616552177357,-0.0942908583300077,-0.2604781887581189,0.40382414292246,0.1997428127802748,0.8103768720923666,2.1607984682023083,2.6365682717568606,2.628498054006795,0.985125167318508,2.451656438404912,3.2665145834045264,3.312488156182593,3.225479083095569,3.0618593583429927,3.4234626391681693,3.394699632605028,3.10864974698216,3.4365546949243075,1.0492329599540575,-0.375938941327367,0.054092267102455,-0.9305799904028416,1.3064374340905145,2.6406186591231045,2.666287865787521,-0.9524460050605118
11,Burgos,0.4584950650506754,-0.3647101216158549,1.638579504945325,-0.1129071451897465,0.585705719478818,1.1763482936349563,0.0414004609001138,0.5346811336142114,-0.6727867463798763,0.9921277879705068,-1.2693527176707953,-1.4259225384272554,-1.17905519445077,-1.2693627066456228,-1.425920484988152,-0.4847159181257689,0.1499358396234117,-0.2577655068760728,-0.1181584659427521,-0.1336101891410063,-0.3807787574605578,-0.091669721988368,-0.62673736620691,-0.8696354761970726,-0.5055590098936138,0.1997423481930134,-0.0989989286046823,-1.1883015091800968,-0.6726185567553631,-0.3307421993233059,-1.5574922524136376,0.9577146284965844,-0.1994116406196825,-0.2046383440162239,-0.1947770472262038,-0.2556956455094283,-0.1626532853341339,-0.1779007704104512,-0.1130478578492924,-0.0472461597048829,-0.6082473737968693,0.0188952519468862,-0.6542388935990724,2.813492725748049,-0.7486545709506334,-0.7739154527493921,-0.9069818168500564,-1.0883796954169207
12,Cáceres,-0.3444279381843441,0.7302924092828694,-0.2115103852038476,-0.017584949881925,-0.6407558923556937,-0.5339474555423418,0.2498315581270279,-0.6142806406380285,-0.0959000607379961,-0.4590914638565704,0.5473116403392465,0.5854960459242629,0.4153819033165705,0.5473210892144115,0.5854949198426257,-0.3727430605445367,-0.0854042697276713,-1.0414613083534656,-0.0227927195486555,-0.5084756502377937,-0.434718158185975,-0.1269456361358872,0.3877898493096759,0.6707804893837042,-0.1504744790964899,0.1997422455087862,-0.0856585115071279,-0.8596774864797913,-0.5106527200851035,-0.4166544586321933,-0.4176178202378074,-0.0724573537759678,-0.386161047041973,-0.3932119803000242,-0.3798879646195136,-0.3855318934929035,-0.371170945664344,-0.3762173281277355,-0.2044148623281365,-0.369119064752145,-1.22631837350771,-0.2710116294662524,0.4044200833140097,0.3520602429586236,0.5134058572809985,-0.4197701594445833,-0.7644021268796747,0.2594050991576496
13,Cádiz,-1.0651584388246875,-0.0842304852474596,-0.5632729769412865,-0.1535594146356007,-0.1517856376645669,-0.5071393217839326,-0.3118208062456474,-0.3336203735049859,2.496273330372128,0.2378569148186509,-0.5002529294501564,-0.6657809546894906,-0.4949365797525542,-0.5002650779556546,-0.6657863278533234,-0.7209281702796819,0.1370719585851875,-0.4282601637066938,-0.1588293134707461,0.9744392003544872,-0.775084430143147,-0.780762931408615,-0.437217733099525,-0.2921935679135806,-0.8163830041054406,0.1997414951256238,-1.207972548815746,-0.3468686152378729,-0.8882554274050337,-0.7317821797746848,0.6799190095823047,0.0442869181876713,-0.3414695982089052,-0.3510291363227871,-0.332997169212446,-0.3978066200826766,-0.326839320396789,-0.3184148237360573,-0.2694026763545709,-0.3870661454305941,-0.1676150721831041,0.207217258509565,-0.1096199644096798,-0.1171387398872818,0.7446383200122201,0.7380066330298163,2.5461362736187567,-1.5749690735174082
14,Cartagena,1.3372212114446074,0.0244835878122206,-0.706851476555368,-0.0502386410642828,-0.7603157196340251,-1.0067685747382946,0.0123674935003115,-0.9472200285272752,-0.9226037692658304,0.0039092288790843,-0.130147197242891,-0.2567921052598743,-0.1371393473751099,-0.1301312693888994,-0.2567892525734388,1.2359644168428314,0.1199775452412372,-0.5807290769982126,-0.0554613326901796,-0.6579977891530766,-0.7760651465199753,-0.7060025433478369,0.6161448570966156,0.5619491658117372,-0.3048445614993625,0.1997419116980272,-0.6758085419115629,0.2878501205333972,1.3082229988707084,0.8622173490241235,0.4886769492370082,-1.1776792251680022,-0.1069489840212429,-0.0877695704063301,-0.1238058928404786,-0.0536789196039824,-0.0448078314574894,-0.1457125034458173,2.053785337971435,-0.201769584708597,0.5619152078926466,-0.4032930108643164,-0.6755477221635622,-0.3011209683534002,0.2873431249943672,-0.7716937833265456,-0.7758954533880899,1.1770905152134472
15,Castelló de la Plana,-0.2771884485130497,0.2198159676946608,-0.5048951136835638,-0.0947623228230407,-0.7590811860719774,-0.654630059097848,-0.0469164391795212,-0.7448346763841182,-0.1746312939819378,-0.652337318721566,0.9381506192973056,1.1406795465587072,0.982901499942281,0.9381514294124156,1.1406813327988965,-0.1943897837573681,0.0768682296190926,-0.7937629759491057,-0.100005361110852,-2.280939846288095,0.9137091707507904,0.4271813996859693,0.8917295396026489,0.7505288102701129,0.4499184493850919,0.1997430456881681,0.7054935928426431,1.340968815659434,-0.1715735645293662,-0.266359304783357,0.2145377768144428,-0.0917009150886555,-0.204429644205297,-0.2030258804191704,-0.2056283164659043,-0.1751547919754653,-0.1683860379550367,-0.1904835095697205,0.0355245941240491,-0.0665557150945231,0.5532960221140645,0.4422541488599734,-0.6164589940098548,-0.0180912452159194,-0.1412946553612863,-0.746515313371194,0.2066544518725285,-0.1282973686137507
16,Ceuta,-1.062144871792633,-0.2027901104845069,-0.9060820248003524,-0.14477320417896,-1.4162328975620913,-1.6642605824382852,-0.1912388430566529,-1.8831357118072745,2.465143873821656,-0.6900116395746698,1.0250056454774996,1.2724164861944995,1.2686016993197733,1.0250042959000194,1.272419367440347,-0.6222531072245776,0.0872818476024188,-0.7557785313803433,-0.1500390917954105,2.351112210564609,-0.2045094110257897,-0.6239356279159876,2.918417792101185,2.38199962940622,0.5750315669265132,0.1997411119076783,-0.9740431295842528,-0.4216739308187977,-0.7995527051344489,-0.7271216220498964,0.7228175830762021,-0.3656009377725782,-0.4142399686842253,-0.4109391263886177,-0.4170704210821033,-0.4096845177839542,-0.4890512945569419,-0.4469930503834867,-0.7679794828746348,-0.6472988152681047,-0.4569521551448475,1.2999895635427443,-1.082433467373623,-0.5115633938745487,1.2541539639403552,-0.1647274664197418,-0.488206002443304,0.1840409506144378
17,Ciudad Real,-0.8140973389582166,0.2762391298960149,-0.3635124091855315,-0.1256213548483945,-0.0726805255733436,-0.2418722023394157,-0.1671051003544814,0.0122110037747142,0.9216589692798692,-0.3076710099863943,0.244191572842664,0.1919027625313528,0.040932212622128,0.2441902230798685,0.1919023419601032,-0.6013022962568823,0.0695365831345112,-0.8171215594637916,-0.1308784888904413,-0.7313300095643686,0.4536089670229217,0.9427299709885892,-0.3797909556478419,-0.0605920116308216,0.5419403559578638,0.1997428473632578,0.7859234759607379,0.0961216353373203,-0.7704182487846152,-0.6008376783021174,0.2288667877450963,0.4182534596975704,-0.4345030119468413,-0.4446266760443419,-0.4255175955628871,-0.4825392195456016,-0.432451578680655,-0.4191466734946544,-0.4994373026752005,-0.4632237835975203,-0.9133026169291288,-0.5264397134118053,2.377044512912509,-1.2440067596032605,-0.2666794656507306,0.8833446655725677,0.4196947145510084,0.0594534439212217
18,Córdoba,2.8226866867917915,-0.4697043145920947,0.2556071671991434,-0.1404120502481075,0.3639644989109832,0.7901475910845049,-0.2172155731477837,0.3647438002662237,-1.1109930511681485,1.197263055446123,-1.5709869024835703,-1.6964724769689608,-1.5277389037951288,-1.5709968915299866,-1.696474296318489,0.8831115098454536,0.1983668203179169,3.3107555241070634,-0.1456759448959433,-0.7562196381137674,0.4536089670229217,-0.3534479846390253,-0.6003338184315458,-0.5881297708131944,-0.5702410746585242,0.1997418313115314,-0.8713630771147062,-0.998851129251946,1.2449880630213312,1.2481008883725555,-0.4255338774267357,-0.7293042465823771,0.149148579660366,0.1563146182278834,0.1428165361056099,0.199420857103033,0.1395973728489757,0.1178547942562652,0.5324842855205936,0.117566298462654,-1.03469492164669,-0.4883254967927777,-1.6329039911626817,-0.3836169908342848,0.0425486068296188,-0.5579668366515124,-1.2256578837952528,1.9829602954883696
19,"Coruña, A",-0.1941632470525909,-0.3313959484570274,-0.3875147213161388,-0.1374409759305949,-0.4861543047392333,-0.3763248564312201,-0.2172155731477837,-0.459133009786814,-0.2601716128562996,-0.5853439515131993,0.7890267420422317,0.9218854756345826,0.8179196946679558,0.7890275521219503,0.9218848797225698,-0.2050280193782704,0.1607705965692961,-0.0477145669760726,-0.1427035144787826,1.0861198854937302,-0.290725918388504,-0.4291728343127765,0.1495006475162144,0.2589087179812999,-0.1288860064494347,-7.366772957377802,0.0665578265914418,-0.7230728269689731,-0.0602358074453367,-0.2286533024728448,0.1413840720018549,1.0667614759351485,-0.0335752417127407,-0.0514493255566514,-0.0178418036305215,-0.1117623402152249,0.053247163371343,0.0232132466845307,0.2559575993987824,0.1959320852994418,-0.174314913237849,-0.147263684360241,1.0701203092002003,-0.1703442450105684,-0.0946751451562403,0.1168183136833111,0.3682496533393282,-0.4035397156889262
