Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,Ciudad_renta,RNMDP_2020,PobT,PobH,PobM,Vehiculos,Ciudad_viviendas,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col
Lleida,1021.769176,2.504677,0.112307,3.573076,0.024872,7.461297,45.294329,5.065696,0.782956,0.706056,0.764,1.443922,0.756322,0.873142,0.69438,9098,0.996503,285.963493,35730.7559,1.040533,1.257449,1.207681,0.29428,0.280211,1.080504,1.070304,0.545342,0.524194,12.846056, Lleida,13303,140403,69541,70862,94148,Lleida,66.454,55.792,3.167,7.456,40
Logroño,852.032302,2.157928,0.158311,2.262931,0.043755,9.731187,44.4711,6.557399,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,5382,0.997344,376.517135,22629.31015,1.030207,1.251819,1.203456,0.234857,0.206249,1.072616,1.060387,0.531431,0.508794,9.947848, Logroño,13791,152485,72341,80144,93436,Logroño,77.682,61.904,4.106,11.64,33
Lugo,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,9660,0.997613,419.017367,15348.22747,1.091946,1.336751,1.286445,0.31638,0.331624,1.101408,1.092393,0.571794,0.621237,10.901138, Lugo,12992,98519,45568,52951,71727,Lugo,59.647,40.227,7.026,12.37,24
Madrid,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,0.058042,0.663808,0.782504,1.525577,0.806105,0.894291,0.733647,123098,0.998446,643.361666,214237.1569,1.038102,1.25444,1.205531,0.301839,0.274237,inf,1.06819,0.350863,0.504962,10.248382, Madrid,17059,3334730,1553899,1780831,2012707,Madrid,1.531.490,1.320.531,57.325,153.101,533
Málaga,643.117386,2.530207,0.066575,1.534823,0.022438,7.14451,28.018985,5.367742,0.231482,0.676318,0.776218,1.497082,0.791311,0.887106,0.719944,46248,0.999177,1215.723799,28427.48739,1.045858,1.236386,1.195609,0.33595,0.313932,1.077701,1.068645,0.521593,0.501037,10.104268, Málaga,11246,578460,277789,300671,420160,Málaga,254.736,211.358,14.89,28.41,78
Marbella,3168.727803,2.135795,0.178239,5.418642,0.063617,10.20654,49.245705,8.446928,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,17778,0.99829,584.782661,54186.41859,1.054742,1.250681,1.185366,0.247345,0.169418,1.070926,1.056655,0.211107,0.497154,10.688337, Marbella,9993,147633,70833,76800,128691,Marbella,86.716,48.791,26.231,11.678,16
Mataró,594.463594,5.236858,0.051442,2.462405,0.015254,5.555791,29.73569,4.219238,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,11556,0.995858,241.415842,24624.05073,1.015978,1.350681,1.312535,0.369457,0.403057,1.114026,1.104583,0.631793,0.645094,16.693761, Mataró,12201,129661,64476,65185,82443,Mataró,54.329,47.081,1.272,5.957,19
Melilla,401.005097,6.104528,0.041811,3.416999,0.00939,4.313018,40.89123,3.119782,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,9591,0.991479,117.35592,34169.99307,1.070934,1.19913,1.157815,0.444843,0.437038,1.076771,1.067197,0.480239,0.446324,9.21604, Melilla,11665,87076,44162,42914,72353,Melilla,26.246,24.666,200,1.367,13
Móstoles,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,8032,0.994785,191.749053,46017.16061,1.017083,1.297285,1.263912,0.283876,0.264516,1.09021,1.080007,0.57319,0.570475,7.604313, Móstoles,12064,210309,102307,108002,127220,Móstoles,79.599,74.951,1.649,2.992,6
Murcia,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.88974,0.188628,0.735037,0.75396,1.402262,0.751272,0.861669,0.674345,57688,0.998245,569.772079,74436.04097,1.047906,1.268026,1.221349,0.317831,0.307044,1.086123,1.074292,-153655.9954,0.531412,11.48254, Murcia,11778,459403,224929,234474,358228,Murcia,207.618,156.916,14.611,36.044,47
