Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Cuenca,0.005313017,3.68E-05,8.27E-07,1.92E-05,1.50E-07,6.80E-05,0.000407926,4.12E-05,1.86E-05,7.10E-06,8.80E-06,1.75E-05,8.94E-06,1.01E-05,8.40E-06,0.071380216,1.11E-05,0.003071172,0.192164949,1.16E-05,1.40E-05,1.35E-05,4.60E-06,4.23E-06,1.20E-05,6.03E-06,5.86E-06,9.68E-05,0.146181706,0.606731836,0.288320088,0.318411748,0.45084171,0.343882466,0.238522779,0.051030301,0.054051686,0.000277701,1.67E-05,0.000112685,0.000170931,0.000299473,6.35E-06,1.01E-05,0.000278098,0.00021654
Dos Hermanas,0.008599339,1.81E-05,3.65E-07,4.01E-05,6.59E-08,2.75E-05,0.000254106,1.77E-05,1.85E-06,3.73E-06,3.19E-06,5.58E-06,3.09E-06,3.64E-06,2.68E-06,0.105136327,4.44E-06,0.000958349,0.400661155,4.55E-06,5.67E-06,5.50E-06,1.53E-06,1.64E-06,4.83E-06,2.46E-06,2.44E-06,3.78E-05,0.049089815,0.603017963,0.296173132,0.306844831,0.435382988,0.22620876,0.197801501,0.00488487,0.023477737,4.47E-05,4.55E-06,2.43E-05,7.92E-05,0.000118349,1.26E-06,9.44E-07,3.00E-05,0.000187943
Elche/Elx,0.005466165,9.60E-06,3.06E-07,9.85E-06,6.95E-08,2.24E-05,9.60E-05,1.40E-05,1.11E-06,2.53E-06,1.91E-06,3.26E-06,1.88E-06,2.18E-06,1.57E-06,0.049129293,2.75E-06,0.001527385,0.098472453,2.79E-06,3.41E-06,3.32E-06,7.60E-07,7.40E-07,2.94E-06,6.45E-07,1.43E-06,2.76E-05,0.027075455,0.645972467,0.320244294,0.325728174,0.452721411,0.311893277,0.236959755,0.037586454,0.037305794,4.13E-05,6.29E-06,4.35E-06,3.28E-05,5.41E-05,2.41E-06,4.32E-07,4.36E-05,0.000131177
Fuenlabrada,0.003417593,1.66E-05,4.28E-07,1.54E-05,1.18E-07,3.12E-05,0.000145637,2.14E-05,2.81E-06,3.25E-06,2.38E-06,4.03E-06,2.38E-06,2.72E-06,1.94E-06,0.027659044,3.45E-06,0.000770089,0.153685546,3.56E-06,4.49E-06,4.34E-06,9.19E-07,8.09E-07,3.73E-06,1.95E-06,1.92E-06,5.31E-05,0.038803003,0.673603507,0.331918913,0.341684595,0.424052236,0.245322939,0.230826788,0.002334067,0.012141305,2.08E-05,7.42E-06,1.46E-05,7.70E-05,0.000167097,4.08E-06,7.28E-07,5.38E-05,2.16E-05
Getafe,0.004898895,1.21E-05,3.32E-07,1.62E-05,6.94E-08,2.39E-05,0.000176957,1.61E-05,2.20E-06,2.91E-06,2.71E-06,4.92E-06,2.72E-06,3.10E-06,2.36E-06,0.054205159,3.66E-06,0.001112162,0.161819719,3.76E-06,4.69E-06,4.56E-06,1.17E-06,1.21E-06,3.97E-06,2.12E-06,2.06E-06,2.44E-05,0.050101658,0.680292196,0.332111758,0.348180438,0.395820729,0.253491317,0.229638108,0.006109331,0.017677752,6.25E-05,5.11E-06,3.29E-05,5.37E-05,0.000156981,1.51E-06,9.84E-07,5.56E-05,6.05E-05
Gijón,0.00484839,7.90E-06,3.32E-07,1.81E-05,8.55E-08,2.02E-05,0.000140242,1.40E-05,9.04E-07,1.81E-06,1.72E-06,3.11E-06,1.66E-06,1.97E-06,1.50E-06,0.034212553,2.33E-06,0.000626199,0.181247391,2.49E-06,2.89E-06,2.78E-06,5.62E-07,5.29E-07,2.48E-06,1.24E-06,1.17E-06,1.99E-05,0.032403021,0.636067889,0.299546525,0.336521364,0.393031184,0.344611585,0.286807236,0.018912297,0.038744575,0.000147478,1.39E-06,5.26E-06,3.30E-05,8.93E-05,1.26E-06,1.03E-06,4.36E-05,5.92E-05
Girona,0.004213769,1.23E-05,4.48E-07,6.91E-06,1.67E-07,4.27E-05,0.000147798,3.31E-05,7.30E-06,4.25E-06,4.77E-06,9.11E-06,4.76E-06,5.45E-06,4.38E-06,0.058309105,6.19E-06,0.00377817,0.069138604,6.40E-06,7.66E-06,7.57E-06,1.82E-06,1.68E-06,6.64E-06,3.49E-06,3.37E-06,8.11E-05,0.091437305,0.640798833,0.308772931,0.332025902,0.471574728,0.29437233,0.237086084,0.015336671,0.04170161,0.000247966,1.22E-05,2.18E-05,0.000145336,9.96E-05,5.64E-06,3.31E-06,0.000137635,0.000194352
Granada,0.003666178,1.08E-05,1.92E-07,1.25E-05,4.18E-08,1.53E-05,0.000113454,1.04E-05,1.51E-06,1.75E-06,2.05E-06,3.96E-06,2.07E-06,2.34E-06,1.91E-06,0.050234562,2.62E-06,0.000771534,0.124812927,2.73E-06,3.27E-06,3.16E-06,9.63E-07,9.01E-07,2.82E-06,1.35E-06,1.30E-06,2.85E-05,0.034805657,0.613710067,0.283228373,0.330481694,0.455746337,0.367801049,0.254563809,0.042102473,0.070982422,0.000154972,2.75E-06,1.97E-05,7.22E-05,3.65E-05,3.28E-06,2.30E-06,7.65E-05,4.95E-05
Guadalajara,0.005765784,2.25E-05,7.67E-07,2.21E-05,1.43E-07,5.23E-05,0.000321232,3.41E-05,7.43E-06,4.96E-06,5.68E-06,1.09E-05,5.78E-06,6.49E-06,5.26E-06,0.054993266,7.29E-06,0.001906053,0.221332953,7.50E-06,9.37E-06,9.15E-06,2.30E-06,2.38E-06,7.93E-06,4.16E-06,4.14E-06,9.55E-05,0.09887959,0.640105227,0.307972533,0.332132694,0.422078439,0.294304702,0.238074892,0.016557978,0.039496228,0.000168287,1.08E-05,3.79E-05,0.000121074,0.000242081,1.63E-05,4.39E-06,0.000138607,0.00016053
"Hospitalet de Llobregat, L'",0.001630968,7.10E-06,1.56E-07,6.42E-06,4.57E-08,1.51E-05,9.64E-05,1.12E-05,3.29E-06,2.16E-06,1.83E-06,3.17E-06,1.74E-06,2.09E-06,1.52E-06,0.027172597,2.58E-06,0.000658545,0.064183369,2.70E-06,3.35E-06,3.27E-06,8.86E-07,9.37E-07,2.83E-06,1.54E-06,1.54E-06,3.64E-05,0.030388733,0.698121927,0.337652878,0.360469048,0.328722333,0.290527795,0.264420334,0.003703351,0.022300448,0.000101071,2.61E-06,6.39E-06,5.39E-05,9.82E-05,1.03E-06,2.10E-06,8.39E-05,1.10E-05
