Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Cuenca,-0.568060234,0.004351956,-0.234613961,-0.660168473,-0.77411546,-0.450406316,-0.255080108,-1.023696873,1.206351896,-0.586356719,0.728417797,0.797685614,0.641289795,0.728401711,0.797678184,-0.353982611,-0.018476791,-0.013845426,-0.525791215,-0.01313361,-0.064945369,0.020696623,1.552993253,0.987420962,0.516960711,0.091805724,0.007039403,-0.578539044,0.074744296,-0.964158788,-0.921401894,-0.951701166,-0.832148087,-0.703163392,-0.882968652,-0.018763918,-0.407471077,0.068965517,0.584989555,0.650623387,-0.270467463,0.321810447,-0.280672556,0.765830918,0.326644864,-0.163786917
Dos Hermanas,0.889317411,0.374316976,-0.091244715,2.168359522,-0.663799252,-0.433653832,0.994719321,-0.823371597,-0.419556968,0.934215469,-0.874805417,-0.81564292,-0.861190197,-0.874792463,-0.815639399,0.844037018,-0.33153072,-0.190654311,1.335960821,-0.923064373,0.344430302,0.509372333,0.452568632,0.838239057,0.788508073,0.355390157,0.689615121,-0.646755874,-1.061369001,-0.265709975,-0.21097039,-0.28292239,-0.184750558,-0.399641066,-0.39462579,-0.529843391,-0.371044929,-0.448275862,-0.02284144,-0.179764006,0.080618218,0.286244784,-0.698050122,-0.515897868,-1.479904299,1.030754435
Elche/Elx,0.950409169,0.092853122,0.482875178,0.06181462,0.242937731,0.518719052,-0.368391036,0.116080311,-0.435966312,1.579080457,-1.274451352,-1.148259383,-0.96994442,-1.274420344,-1.14825564,0.445793461,0.527114316,0.782576894,-0.050578214,-1.101510161,-0.6729094,-0.425173371,-0.569943576,-0.371529343,-0.446038101,-8.57960717,-0.290023406,-0.224289506,-1.666666667,0.600219272,0.669828129,0.546209683,0.577579368,0.566090781,0.50005616,1.30507794,0.400223017,-0.275862069,1.576167998,-0.859784034,-0.78872785,-0.248860211,0.162062771,-0.616542121,-0.579516454,1.325863632
Fuenlabrada,-0.05603535,0.750549837,0.722505796,0.397322685,1.003479802,0.943816355,0.075036607,1.00156397,0.091601592,1.728501338,-1.407307172,-1.25413225,-0.922530556,-1.407297282,-1.254124586,-0.244747293,-0.282860147,-0.168509568,0.170255031,-0.566906974,1.252144734,1.392205907,-0.735173742,-0.80289592,0.243829469,0.637940738,0.94493427,1.224053403,-0.950694991,0.250677898,0.308418492,0.217088045,0.098969248,-0.088770614,0.083661823,-0.591172927,-0.533847512,-0.586206897,1.398279457,-0.394134998,0.750534827,1.986511291,0.597699705,-0.51827078,-0.609327356,-0.865027141
Getafe,0.292937198,-0.011810442,0.076009663,0.384403749,-0.307778762,-0.266547006,0.453575987,-0.479358185,-0.18091017,0.598035913,-0.382593832,-0.373125738,-0.205927398,-0.382579821,-0.373128062,0.228862336,0.075859997,0.061207042,0.16175175,-0.711825347,0.570755575,0.95178962,0.090409393,0.348673871,0.738703859,1.026577933,1.139256991,-1.141083824,0.325465513,0.16962105,0.212624439,0.152138614,-0.068305444,-0.117100186,-0.005038322,-0.446756471,-0.412488965,-0.206896552,0.44769656,0.443314846,-0.383892487,1.554879868,-0.512099466,-0.411770985,-0.649138929,-0.324219879
Gijón,1.035566767,0.035132785,1.07616552,1.687829159,1.217973934,0.767362583,1.180485214,0.827613901,-0.457237157,0.443193655,-0.43275306,-0.420055502,-0.647774651,-0.43275364,-0.420054603,0.219065447,-0.054829503,-0.039517367,1.019673337,0.838307722,-0.813511414,-1.188417738,-1.122971351,-0.896194003,-1.163095605,-0.282592791,-0.954789434,-0.640998178,0.432467873,0.921111992,0.873504868,0.96991706,0.61584088,1.087715379,1.278824605,0.490125214,0.678344097,1.379310345,-0.558959352,-0.742312046,-0.462318706,1.196771648,-0.329282612,-0.09243084,-0.306571826,0.143646165
Girona,-0.365266019,-0.665816111,-0.27683181,-0.900204814,0.391985649,-0.077413265,-1.05267689,0.315004625,0.565334744,-0.222535888,0.272040046,0.283268982,0.151776193,0.272030054,0.283269838,-0.14544882,0.575184017,0.937997272,-0.683784478,-0.384260062,-0.813511414,0.149937714,-0.309064338,-0.3497338,-0.122310704,0.655584321,0.578990902,0.610529205,0.908733281,-0.540829109,-0.501678244,-0.536041508,-0.428559649,-0.448551556,-0.524145972,-0.328332056,-0.234539795,0.586206897,1.177756261,-0.517220786,0.933283651,-0.529893158,0.20847592,0.078424705,0.047234214,0.463028228
Granada,0.355612669,0.41274024,-0.262902063,0.519897541,-0.564635701,-0.598854005,0.145528197,-0.808517784,-0.215516193,-0.360664816,0.455685899,0.483964452,0.430093452,0.455668369,0.483961898,0.534665244,0.045515998,0.035469069,0.250934388,-0.148140595,-0.499710729,-0.56838223,0.819745074,0.528362228,-0.004311672,-0.760911163,-1.189694314,0.005595392,0.122475741,0.590519197,0.51925691,0.67043173,0.679682102,0.977031326,0.731070189,1.651005731,1.651535567,1.24137931,0.012880535,0.184266034,1.534928083,-0.700271692,0.697217216,0.708760264,0.73067703,-0.198484796
Guadalajara,-0.25625034,-0.113509208,0.357877613,-0.154446146,-0.25374457,0.047927715,0.189461353,-0.247695208,0.356178982,-0.285780117,0.390021061,0.411287521,0.439621407,0.390022211,0.411282605,-0.277706828,-0.085173502,-0.059522715,-0.192922139,-0.666102438,0.703390251,1.281601585,0.022439328,0.307957993,0.934312992,0.804555815,1.344877954,0.603525094,0.260424862,-0.678775116,-0.637486198,-0.672401918,-0.637667231,-0.56043719,-0.646242385,-0.359142847,-0.35803559,0,0.551632219,-0.224011727,-0.09726803,0.800727736,2.109400722,0.200855187,-0.274116857,-0.034491215
"Hospitalet de Llobregat, L'",-0.416005474,-0.284389952,-0.515351945,-0.368589163,-0.416192967,-0.586024882,-0.226330074,-0.512964854,0.687229216,0.930722553,-1.033422528,-0.950312685,-1.159227797,-1.033415087,-0.950306785,-0.069942793,-0.114015322,-0.077794455,-0.333872033,0.069787599,1.145263401,1.717701988,0.43584462,0.757538285,1.541290862,1.597447731,2.393924995,0.868764959,-0.677419355,0.900834754,0.914468967,0.892061226,0.148911668,0.546896302,0.840501265,-0.480925784,-0.060028806,0.551724138,-0.037992068,-0.703979209,0.537537551,1.176421507,-0.531485281,0.592617895,1.05079805,-0.969481892
