Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Cuenca,-0.921099386,-0.210049552,-0.468191263,-0.149969877,-0.991933209,-0.660509475,-0.198867777,-1.241917622,1.408406413,-0.614458712,0.867191082,1.03543963,1.007554136,0.867187573,1.035435528,-0.643421025,0.142546765,-0.363382655,-0.155238137,-0.163293376,-0.329435371,-0.205096253,1.790539357,1.178353417,0.261790331,0.19974222,-0.216012061,-0.969252694,0.148843601,-0.483152487,-0.493483328,-0.473976088,-0.51371533,-0.467645695,-0.466989057,-0.345407087,-0.481405774,-0.236192186,0.619362474,0.225235112,-0.475119843,0.30209456,-0.444839488,0.242559729,0.298078971,-0.358228355
Dos Hermanas,0.666048081,-0.117616108,-0.328890778,-0.080794272,-0.870758991,-0.637031048,0.019443393,-1.008112658,-0.750549424,0.187704839,-0.494084789,-0.659210705,-0.790736408,-0.494081819,-0.659212574,0.28579629,0.122600092,-0.561153356,-0.086030925,-1.191557678,0.027747303,0.158914941,0.443676733,0.984176009,0.519018232,0.199742412,0.253517356,-1.063515603,-1.240541525,-0.295783401,-0.292552447,-0.29857351,-0.29441921,-0.369426195,-0.333958207,-0.69915102,-0.462988874,-0.428711101,-0.2130267,-0.290132109,-0.047086468,0.257032346,-0.777311931,-0.675150857,-1.867731349,1.205891026
Elche/Elx,0.732579655,-0.18793809,0.228935828,-0.132312771,0.125224701,0.69770932,-0.218660586,0.088346679,-0.772338498,0.527897297,-0.833418927,-1.008593107,-0.920902328,-0.833405159,-1.008596654,-0.02309248,0.177309872,0.527460589,-0.137572967,-1.393209761,-0.859887552,-0.537221761,-0.807825141,-0.590476709,-0.65042683,0.199735911,-0.420355292,-0.479746048,-1.980777184,-0.063485245,-0.043436775,-0.0811146,-0.03619148,-0.056916402,-0.090235387,0.57089077,-0.073039215,-0.364538129,1.976723667,-0.712176128,-1.106967719,-0.420953514,-0.092167692,-0.747211574,-0.788286999,1.592303782
Fuenlabrada,-0.363482079,-0.023616682,0.461765828,-0.124107453,0.960624066,1.293478623,-0.141203992,1.121818234,-0.071809808,0.606722877,-0.946225067,-1.119802625,-0.86415355,-0.946230737,-1.119802663,-0.558695077,0.125701207,-0.536383214,-0.129363897,-0.789083166,0.819733466,0.81653163,-1.010058289,-1.151949924,0.003062072,0.199742618,0.429146005,1.521593137,-1.105195144,-0.157254819,-0.145654027,-0.167434301,-0.198313418,-0.268828849,-0.203666537,-0.741600292,-0.545301139,-0.480049478,1.733115663,-0.423178183,0.769656229,2.411294889,0.254849704,-0.676849848,-0.824026275,-1.276424634
Getafe,0.016564162,-0.214087626,-0.16638301,-0.124423403,-0.479696745,-0.402832627,-0.075081882,-0.606605445,-0.433663337,0.010356477,-0.076154367,-0.194387901,-0.006464469,-0.076144918,-0.194393369,-0.191350288,0.148557567,-0.27943224,-0.12967999,-0.952847704,0.22521743,0.488468551,0.000412621,0.346950611,0.471840335,0.1997429,0.5628165,-1.746584432,0.455457678,-0.178999502,-0.172747397,-0.184468779,-0.254975189,-0.277996268,-0.227829592,-0.641642364,-0.483942796,-0.338868941,0.431347707,0.09657224,-0.613404308,1.864411561,-0.629188329,-0.600596596,-0.871755015,-0.568297521
Gijón,0.825319974,-0.202359155,0.805388834,-0.092546313,1.196230048,1.046180557,0.051892415,0.918796477,-0.800582894,-0.071329099,-0.118743912,-0.243683218,-0.535303284,-0.118747421,-0.243685569,-0.198949028,0.140230501,-0.392098168,-0.097788331,0.798875135,-0.982563633,-1.105757269,-1.484702435,-1.273388111,-1.329671863,0.199741948,-0.877633799,-1.055559544,0.586313895,0.022598909,0.014168985,0.030012381,-0.023230971,0.11188076,0.12191111,0.006820801,0.067577571,0.251522396,-0.947208979,-0.639268937,-0.709019256,1.410683206,-0.483561033,-0.371950852,-0.461062972,0.04432116
Girona,-0.700247689,-0.37748685,-0.509210987,-0.155840301,0.288942844,-0.13776372,-0.338189562,0.320516542,0.557234646,-0.422528456,0.479686701,0.495093198,0.421664349,0.479683191,0.495094843,-0.481676422,0.180372701,0.701307039,-0.161111247,-0.582683617,-0.982563633,-0.108825448,-0.488522493,-0.562107302,-0.343770495,0.19974263,0.177421293,0.673817372,1.168752351,-0.369588123,-0.37477316,-0.364959806,-0.377005851,-0.385253577,-0.369241164,-0.559674841,-0.393972483,-0.043673272,1.43112198,-0.499569493,0.99245824,-0.777026371,-0.055196148,-0.249619245,-0.036896949,0.46251654
Granada,0.084820469,-0.108016296,-0.49567656,-0.121109713,-0.761835146,-0.868557316,-0.128890735,-0.990776378,-0.47961479,-0.495397072,0.635617994,0.705904968,0.754777135,0.635610165,0.705904185,0.045838945,0.146624156,-0.308221613,-0.12636479,-0.31585758,-0.708770696,-0.643897061,0.893081642,0.580835674,-0.231993885,0.1997416,-1.039219904,-0.162088088,0.207215737,-0.066087432,-0.086022735,-0.048534518,-0.001605723,0.076063519,-0.027304207,0.810324878,0.559618869,0.200184019,-0.164107534,-0.064202439,1.725965501,-0.992898466,0.334122843,0.201697462,0.782459387,-0.403661378
Guadalajara,-0.581524887,-0.239496427,0.107485643,-0.13760173,-0.420344169,0.037900317,-0.121216624,-0.336225416,0.279508099,-0.455892354,0.579862838,0.629564668,0.766180968,0.579870127,0.629560986,-0.584259409,0.13829709,-0.414475277,-0.142864341,-0.901178678,0.340941962,0.734143228,-0.082779212,0.293954212,0.657134446,0.199742739,0.704258817,0.664138999,0.375917625,-0.406594153,-0.413183636,-0.400723453,-0.447837882,-0.421459649,-0.40250179,-0.581000547,-0.45641141,-0.261861375,0.573681544,-0.31759378,-0.26396017,0.908889774,1.459032611,-0.16195971,-0.422153814,-0.188929977
"Hospitalet de Llobregat, L'",-0.755505157,-0.282189911,-0.740962018,-0.142838897,-0.598781751,-0.850577439,-0.193845809,-0.645828683,0.719091677,0.185862185,-0.628764504,-0.800668664,-1.147452105,-0.628768014,-0.800668808,-0.42311185,0.136459393,-0.434913247,-0.148103894,-0.069588533,0.726478877,1.058991435,0.423207411,0.879134673,1.232104655,0.199743316,1.425876116,1.030650915,-0.770998629,0.017159244,0.025754834,0.009592902,-0.181396178,-0.063127715,0.002506219,-0.665292673,-0.3057405,-0.056507866,-0.233774603,-0.615478248,0.509976192,1.38489928,-0.64463058,0.11854018,1.166241585,-1.413196543
Huelva,-0.651964788,0.211256878,-0.498421304,-0.088375893,-0.508850729,-0.793789764,0.066052499,-0.551920638,0.43426067,-0.478592552,0.607679944,0.667505623,0.681773522,0.607672115,0.667502504,-0.452855488,-0.004545589,-0.964474571,-0.093616008,-0.418135517,-0.146127942,0.072347204,0.68977808,0.191608683,0.197941798,0.199742015,-0.476428624,-0.492658321,-1.03784268,-0.275313022,-0.279050553,-0.271975201,-0.290616588,-0.284227521,-0.270106197,-0.40756495,-0.310344725,-0.415876506,0.859941091,0.114984361,2.36434199,-0.103679206,-0.108777887,-0.364358235,0.086298228,-0.957956147
Huesca,-1.019803395,-0.27954516,0.033396487,-0.152615364,1.217976831,0.659753229,-0.263369081,1.191259198,2.074364181,0.150725089,-0.317454804,-0.467740865,-0.223662149,-0.317458314,-0.467741026,-0.783400666,0.14015393,-0.392956673,-0.157884831,0.058546962,0.334423083,0.173031152,-0.792238409,-1.177893104,-0.184232515,0.199742414,-0.058929255,0.231779907,0.450326062,-0.484701685,-0.49474742,-0.475775875,-0.531168096,-0.480845981,-0.470992921,-0.545424014,-0.480607082,-0.223357592,0.578642987,0.021239296,-0.586057397,1.968108945,-0.737277145,0.057800407,-0.069588468,-1.107043338
