,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index,ID,index,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,SIN_EDIF,,,,,,,,,,
36,8,0.850704,0.687343,0.768489,1.46313,0.770071,0.878274,0.703617,0,Leon.txt,36,Leon.txt,10009,0.994554,183.625222,51212.84974,Leon_class.shp,1.536103837,2.32727387,16.91537351,19.9483203,0.430452501,0.838525399,18.35202721,8.80059444,30.85132893,,,,,,,,,,
37,8,0.782956,0.706056,0.764,1.443922,0.756322,0.873142,0.69438,0,Lleida.txt,37,LLeida.txt,9098,0.996503,285.963493,35730.7559,Lleida_class.shp,0.393020321,5.096789608,11.70931353,23.1702708,0.191583299,0.408600278,15.22628964,9.825641898,33.97849063,,,,,,,,,,
38,8,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,0,Logronio.txt,38,Logronio.txt,5382,0.997344,376.517135,22629.31015,Logronio_class.shp,0.896323083,9.454684057,12.13799797,27.36631462,0.195743016,0.138828059,24.91428071,3.599331128,21.29649736,,,,,,,,,,
39,8,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,0,Lugo.txt,39,Lugo.txt,9660,0.997613,419.017367,15348.22747,Lugo_class.shp,1.237100975,5.381047847,9.198398228,12.08702321,0.42490191,0.407549656,19.46369301,9.847467182,41.95281798,,,,,,,,,,
40,9,0.035194,2.691914,0.42008,0.544866,0.429715,0.47259,0.247979,0,Madrid.txt,40,Madrid.txt,131191,0.996704,303.430574,842787.1312,Madrid_class.shp,0.530128256,5.122786748,13.89123116,5.699978306,0.635233143,2.141166835,33.1184773,9.289530359,29.57146789,,,,,,,,,,
41,9,0.581606,45.947647,0.041614,0.042504,0.062084,0.046815,0.019344,0,Malaga.txt,41,Malaga.txt,11128,0.995012,200.494332,77181.26187,Malaga_class.shp,4.366035781,0.119284734,17.19439898,6.419821839,0.815937039,4.041965365,14.19281387,26.80057078,26.04917162,,,,,,,,,,
42,8,0.252467,0.998898,0.665668,1.09562,0.640649,0.760763,0.526882,0,Marbella.txt,42,Marbella.txt,17778,0.99829,584.782661,54186.41859,Marbella_class.shp,0.370369844,0.586150319,11.65021908,3.061722657,1.585354836,0.116039518,12.47892475,29.68149688,40.46972211,,,,,,,,,,
43,8,1.345751,0.637263,0.793009,1.575078,0.813828,0.906296,0.757452,0,Mataro.txt,43,Mataro.txt,11556,0.995858,241.415842,24624.05073,Mataro_clas.shp,0.739202699,2.861053838,12.30558876,13.6402135,4.347389552,0.332711951,18.93504168,18.06463376,28.77416426,,,,,,,,,,
44,8,1.994987,0.639054,0.79249,1.572577,0.793978,0.905703,0.75625,0,Melilla.txt,44,Melilla.txt,9591,0.991479,117.35592,34169.99307,Melilla_class.shp,0.701533709,19.48201152,9.877196292,9.688141594,0.375263609,0.15405403,12.96697073,15.74527299,31.00955553,,,,,,,,,,
45,8,0.906644,0.642828,0.789963,1.560473,0.793922,0.902815,0.750429,0,Mostoles.txt,45,Mostoles.txt,8032,0.994785,191.749053,46017.16061,Mostoles_class.shp,0.497161576,6.841903244,17.91672378,19.92577342,0.366322602,0.792309128,15.21441173,12.79537539,25.65001912,,,,,,,,,,
46,9,0.139961,1.035827,0.665709,1.095744,0.643466,0.748923,0.498694,0,Murcia.txt,46,Murcia.txt,63516,0.998003,500.835154,128393.1079,Murcia_class.shp,0.496315528,2.228139814,4.969976702,8.51092218,0.208812541,0.322970655,9.340993978,18.6767932,55.2450754,,,,,,,,,,
47,8,0.745707,1.208704,0.622217,0.973436,0.603775,0.711105,0.468124,0,Ourense.txt,47,Ourense.txt,16916,0.998782,821.333532,13061.77565,Ourense_class.shp,0.143348702,1.352728062,5.467567891,7.178337187,0.098003855,0.171138612,9.447169315,31.16226183,44.97944455,,,,,,,,,,
48,8,0.815073,0.764665,0.737757,1.338482,0.705927,0.84315,0.643674,0,Oviedo.txt,48,Oviedo.txt,8462,0.996951,327.930774,29930.32486,Oviedo_class.shp,0.320061384,1.133179572,14.45460695,13.10981307,0.264359205,0.324933454,23.86174962,9.657266925,36.87402982,,,,,,,,,,
49,8,1.280707,0.737545,0.750623,1.388791,0.731803,0.857855,0.667867,0,Palencia.txt,49,Palencia.txt,6037,0.994065,168.496219,37072.35186,Palencia_class.shp,0.829716097,3.119009651,15.3490795,28.21837336,0.158602705,0.162921832,14.01141983,13.9971985,24.15367854,,,,,,,,,,
50,8,0.271483,0.683856,0.773189,1.483637,0.791149,0.883644,0.713479,0,Palma.txt,50,Palma.txt,35101,0.998327,597.711104,49300.97558,Palma_class.shp,0.5617933,3.780208868,9.695865976,8.284305202,1.83353429,0.4939279,16.19233736,19.71719181,39.44083529,,,,,,,,,,
51,8,1.263398,0.675798,0.776232,1.497147,0.791741,0.887123,0.719976,0,Parla.txt,51,Parla.txt,6540,0.95625,22.857169,277030.3385,Parla_clas.shp,1.229582923,2.804701998,10.04534718,16.98726885,0.199095439,1.048751341,12.79216006,7.571800446,47.32129177,,,,,,,,,,
52,8,1.322848,0.770596,0.735808,1.331078,0.710126,0.840923,0.640113,0,Pontevedra.txt,52,Pontevedra.txt,7077,0.994338,176.62441,34239.64548,Pontevedra_class.shp,0.400413106,0.875474548,8.24047832,13.96937818,0.633853871,0.251781076,11.89354958,22.51374439,41.22132693,,,,,,,,,,
53,8,0.733899,0.673577,0.773694,1.485865,0.764465,0.884221,0.71455,0,Sabadell.txt,53,Sabadell.txt,25177,0.998559,694.074811,15705.34551,Sabadell.shp,0.931114163,1.682526861,13.30453393,15.7637759,0.727138124,0.400464323,18.02474497,16.0477609,33.11794083,,,,,,,,,,
54,8,0.903815,0.714124,0.756183,1.411336,0.745841,0.864209,0.678709,0,Salamanca.txt,54,Salamanca.txt,9409,0.995427,218.654554,40481.07659,Salamanca_class.shp,0.509052653,4.694097931,19.56452305,17.45453428,0.745783094,0.28169031,18.92343072,4.708274856,33.11861311,,,,,,,,,,
55,8,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,0,Santander.txt,55,Santander.txt,9887,0.996752,307.904062,39511.80574,Santander_class.shp,0.525895768,4.7025185,12.95468099,12.1019847,0.57493557,0.475891067,21.54797971,15.23807037,31.87804333,,,,,,,,,,
56,8,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,0,Santa_coloma.txt,56,Santa_Coloma.txt,6653,0.989299,93.451637,29527.44262,Santa_Coloma.shp,2.163680164,1.932516318,22.68183472,7.336594047,0.27895404,0.246746323,38.26801474,15.76418168,11.32747796,,,,,,,,,,
57,8,0.7863,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,0,Santa_Cruz.txt,57,Santa_Cruz_Tenerife.txt,21167,0.999013,1012.747587,10046.16814,Santa_Cruz_Tenerife_class.shp,0.417224535,1.676589422,8.191863272,10.76996054,0.233173494,0.341208546,18.20747082,16.58496973,43.57753964,,,,,,,,,,
58,8,0.556311,0.932454,0.69106,1.174608,0.681847,0.789783,0.564867,0,San_Cristobal.txt,58,San_Cristobal.txt,27223,0.999291,1411.271008,10189.7151,San_Cristobal_de_la_Laguna_class.shp,0.609029464,2.571778491,7.658526568,10.23133428,0.351326693,0.159996808,12.37052057,31.84056073,34.20692639,,,,,,,,,,
59,8,1.451914,0.616999,0.802926,1.624175,0.815801,0.91763,0.781063,0,Segovia.txt,59,Segovia.txt,5383,0.994846,194.011864,28400.15682,Segovia_class.shp,0.426164227,11.40290902,10.52466287,15.61253528,1.498189728,0.113264563,17.31378593,10.87388254,32.23460584,,,,,,,,,,
60,9,0.164306,8.377118,0.191251,0.212267,0.228457,0.215157,0.096607,0,Sevilla.txt,60,Sevilla.txt,59749,0.988266,85.220226,642757.8832,Sevilla_class.shp,1.421020055,8.477872683,13.69958334,8.556049434,1.272294249,1.540132709,27.25756773,18.10384701,19.6716328,,,,,,,,,,
61,8,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,0,Soria.txt,61,Soria.txt,3438,0.993995,166.535215,22814.152,Soria_class.shp,0.576419091,1.781654933,9.195771449,21.39024802,0.380352124,0.534316376,13.29422582,9.227326605,43.61968558,,,,,,,,,,
62,8,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,0,Terragona.txt,62,Terragona.txt,9514,0.994988,199.540585,65805.71883,Tarragona_class.shp,0.383390099,6.726364488,8.589171002,12.91728671,0.641809599,1.360232181,8.684604722,15.92227209,44.77486911,,,,,,,,,,
63,8,0.638085,0.713778,0.757116,1.41517,0.749488,0.865275,0.680553,0,Terrasa.txt,63,Terrasa.txt,25503,0.998958,959.690368,13064.12008,Terrasa_clas.shp,1.408286659,2.949323908,6.47115052,17.82034447,0.301837587,0.289885822,15.55982544,20.81987219,34.37947341,,,,,,,,,,
64,8,1.538482,0.79297,0.728547,1.303966,0.708345,0.832625,0.627075,0,Teruel.txt,64,Teruel.txt,5943,0.995241,210.117254,24747.75254,Teruel_class.shp,0.356433953,1.940650325,8.18450207,23.07602099,0.611796159,0.069543717,8.195650776,15.78678954,41.77861247,,,,,,,,,,
65,8,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,0,Toledo.txt,65,Toledo.txt,7809,0.979523,48.834958,348041.156,Toledo_class.shp,0.191289502,10.1475176,10.42009628,9.377424159,1.035063752,0.39285842,5.40508714,23.89680791,39.13385525,,,,,,,,,,
66,8,0.399254,2.307808,0.45807,0.612619,0.471648,0.523509,0.294608,0,Torrejon.txt,66,Torrejon.txt,5909,0.551611,2.230206,8984539.673,Torrejon_clas.shp,0.250479326,60.14314527,4.086043312,9.79895462,0.195829476,0.187924068,6.341983159,2.472608576,16.52303219,,,,,,,,,,
67,8,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,0,Valencia.txt,67,Valencia.txt,33239,0.997918,480.279041,45061.62681,Valencia_class.shp,1.580605144,3.301948433,13.82718136,10.08703538,0.592866155,0.555429918,30.61758119,5.87653327,33.56081915,,,,,,,,,,
68,8,0.289363,0.708775,0.762939,1.439438,0.757313,0.87193,0.692223,0,Valladolid.txt,68,Valladolid.txt,16196,0.996386,276.687811,99921.02196,Valladolid_class.shp,0.404741561,4.732782985,14.76653749,25.96714484,0.583088937,0.335436774,14.56510103,11.62870239,27.016464,,,,,,,,,,
69,8,0.299214,0.92435,0.691404,1.175722,0.67477,0.790176,0.565403,0,Vigo.txt,69,Vigo.txt,34770,0.997138,349.362521,76530.04423,Vigo_class.shp,0.276147435,2.100288528,9.747733225,13.28733533,0.35905283,0.260197746,7.613302592,30.74277985,35.61316247,,,,,,,,,,
70,8,1.449856,0.673657,0.774217,1.488181,0.758289,0.88482,0.715664,0,Zamora.txt,70,Zamora.txt,7338,0.987969,83.120135,66383.29042,Zamora_class.shp,0.750098838,2.970384409,16.30851361,18.74526271,0.285295601,0.133940339,14.45020254,13.50130161,32.85500034,,,,,,,,,,
71,8,0.190993,0.765839,0.742138,1.35533,0.731288,0.848158,0.651776,0,Zaragoza.txt,71,Zaragoza.txt,28251,0.998467,652.408945,64202.72871,Zaragoza_class.shp,0.477594972,4.504686156,8.802102128,24.93049379,0.191952683,0.172098754,14.75954631,9.015556962,37.14596824,,,,,,,,,,
