,ciudades,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
12,Caceres,0.26585509776536315,0.001320629698476846,0.9617568092976337,0.912883273449409,0.9267549002743128,0.9617898175846766,0.9130086029099971,0.062425148528801676,0.9668876539018245,0.043686283008180456,0.016253701791750924,0.03082697704433955,0.07580775498300596,0.3647117441133152,0.4732187431756907,0.206783930988071,0.05334797698784973,0.23153118810514633,0.4183306763426382
13,Cadiz,0.7928973463687151,0.005083690839804452,0.8821166617628516,0.7627344751215644,0.8515978827085677,0.8822160849319316,0.763075359811164,0.012211063536668412,0.9928476975036187,0.1784251272512105,0.0003894373301520954,0.1391779129155843,0.13658465655981536,0.2975399584601803,0.3728035452726578,0.2406704617299848,0.2172273738182355,0.9262403229840124,0.0
14,Cartagena,0.09776920391061453,0.0038205277806750097,0.910253614812324,0.8118116852366895,0.881138063841773,0.9103311265883111,0.8120829334702168,0.29442752812067036,0.9908530047711799,0.14492309396370928,0.012443965723472006,0.21384027440413422,0.05899644830577096,0.22358778643128657,0.33342875428310936,0.17365501112643245,0.0035343759664639186,0.22911933904931325,0.6276096590534359
15,Castello,0.2498474162011173,0.0002772296570743918,0.9914699886511708,0.9795033227516974,0.9736100186595827,0.9914769497539662,0.9795331349224584,0.08814665800411733,0.9858227158199462,0.09811310089729973,0.007249346932477936,0.21295816055373906,0.16645490135453897,0.23130916028072385,0.3940011056742133,0.1108392319334777,0.0070983033972223525,0.43530525568334055,0.329914780622736
16,Ceuta,0.7865680865921787,7.381319587577984e-05,0.9980730633432812,0.9953112878721302,0.9971977797591457,0.9980742178304234,0.9953184835877799,0.02644164911978584,0.9870378477868518,0.10645943261094426,0.001414532102912033,0.10956627036952145,0.2754623289438038,0.17041830638085764,0.2883911080424302,0.3153386866302487,0.08944840927374947,0.28949033174027167,0.40114381463159865
17,Ciudad_real,0.4727458100558659,0.0021382001863286867,0.9387123807322098,0.8656534766079672,0.8958398716283735,0.9387642610657833,0.8658468542861607,0.02946310458462815,0.9849672093064816,0.09298051337133213,0.003648996102372337,0.0628619675136252,0.04334604489347056,0.6224829157290193,0.1316379005305399,0.09246440610557895,0.2377994817274962,0.48001128191685305,0.3727315219188139
18,Cordoba,0.05946578212290502,0.010263850629269626,0.8007150813332774,0.6390551511660769,0.7663284480505923,0.8008842291416662,0.6395744362422363,0.2435402691130541,1.0,1.0,0.0019233519307415518,0.05043830754462482,0.04818988442381898,0.09848599644495316,0.31577344230143,0.13778099556969858,0.03378670382030537,0.13473769137468317,0.8113889856751585
19,Corunia,0.2324553072625698,0.0006389496130741381,0.9801329809591864,0.9532488109094749,0.9599889171795534,0.9801496299443626,0.9533161178859922,0.08661244745720256,0.9956130162077161,0.26204250848554284,0.0022699897057107286,0.13849223067811328,0.09153456879359446,0.45170160624659955,0.36141681699358086,0.11767120287335625,0.12930026407282463,0.4692156500151733,0.2671455163552491
20,Cuenca,0.5717115921787709,0.00048174912478639136,0.9860753541255097,0.9668749063490448,0.9756453707557985,0.9860865970384067,0.9669221852152828,0.023388883235618732,0.9934865352656317,0.19268067885399182,0.0008082317699680762,0.2197196034265727,0.1388745000266156,0.24977854458237841,0.46252538261180265,0.06635550682209067,0.14709853691946184,0.4544904881149049,0.2774788128667391
21,dos_hermanas,0.13275139664804467,0.004812902740768231,0.8825855890883108,0.7635228818129687,0.8271762838147488,0.8826857598915958,0.7638630518603318,0.1573974779457234,0.991159021461375,0.14922447221473417,0.008879012468709015,0.13453034792473023,0.07337778151238517,0.3057114747195809,0.4528814332556015,0.017632513787975663,0.017199701335590054,0.0,0.6341776414095501
