Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Cartagena,0.543716023,0.066039745,0.068371732,0.012443966,0.113864161,0.148871375,0.040715639,0.155594473,0.090513637,0.103274925,0.800659565,0.703900171,0.730414547,0.800662752,0.70389947,0.314340632,0.990853005,0.144923094,0.012443966,0.30881966,0.199941724,0.214233439,0.545052417,0.606737685,0.255649946,0.999999658,0.257839981,0.48446853,0.145141313,0.054530406,0.058694713,0.05089853,0.066060344,0.063973585,0.048481886,0.492463895,0.062484351,0.049149338,0.553691135,0.04809415,0.330729744,0.333428754,0.173655011,0.00405665,0.234593703,0.627609659
Castelló de la Plana,0.189800457,0.089568337,0.104219096,0.007249347,0.11407847,0.208799526,0.0338409,0.189240712,0.243814833,0.008368564,0.979683189,0.965416501,0.927144881,0.97968423,0.965415504,0.094108307,0.985822716,0.098113101,0.007249347,0,0.470887504,0.405962577,0.599510159,0.647484504,0.388966594,0.999999808,0.494218156,0.727485605,0.335772999,0.041844602,0.043623244,0.040293369,0.0501663,0.047583155,0.042605711,0.142897155,0.081447755,0.018903592,0.5514071,0.156797598,0.342151155,0.394001106,0.110839232,0.008147219,0.445706034,0.329914781
Ceuta,0.017720035,0.038663689,0.033008202,0.001414532,0,0.036977111,0.017104852,0,0.784851708,0.002920105,0.994238214,0.990069137,0.977326886,0.994238925,0.990068337,0.028229985,0.987037848,0.106459433,0.001414532,0.88140469,0.291587462,0.228118757,1,1,0.411065797,0.999999552,0.206803973,0.320739161,0.287692827,0.014540593,0.016435509,0.012887953,0.019480159,0.005052669,0.008938946,0.003728665,0,0.017013233,0.283697132,0.267067966,0.252081761,0.288391108,0.315338687,0.102666191,0.296407144,0.401143815
Ciudad Real,0.072097734,0.09636474,0.129314603,0.003648996,0.233234421,0.279044086,0.019903472,0.315098335,0.468505733,0.058214198,0.863390652,0.787866837,0.761692047,0.863391079,0.787865492,0.031455791,0.984967209,0.092980513,0.003648996,0.294865723,0.397113032,0.493190854,0.348247518,0.47222384,0.405220771,0.999999782,0.507981886,0.440225373,0.425289945,0.011903629,0.012030363,0.011793098,0.009947766,0.012559605,0.012593771,0.0502407,0.025816059,0.017013233,0.162766879,0.032262424,0.920773084,0.131637901,0.092464406,0.272939086,0.491480225,0.372731522
Córdoba,0.869364071,0.006512771,0.239208663,0.001923352,0.30903396,0.454676784,0.014092515,0.373706344,0.051902186,0.275857729,0.559205974,0.434485098,0.486161746,0.559204293,0.434483621,0.2600117,1,1,0.001923352,0.290129629,0.397113032,0.273883933,0.304666481,0.358237594,0.208771956,0.999999647,0.224375308,0.187550076,0.223848666,0.087858081,0.090612334,0.085455974,0.099176212,0.088431623,0.083074979,0.228971554,0.107270403,0.094517958,0.130598615,0.037162383,0.145679909,0.315773442,0.137780996,0.038779361,0.137956988,0.811388986
"Coruña, A",0.208001483,0.023172585,0.125054179,0.00226999,0.161457303,0.256162468,0.014092515,0.236738153,0.22628286,0.018057144,0.95469325,0.924472398,0.89816654,0.954694237,0.924470971,0.092470333,0.995613016,0.262042508,0.00226999,0.640697083,0.277763132,0.261071662,0.452839781,0.541259067,0.286730172,0,0.384878956,0.251188521,0.539128477,0.064079018,0.063444123,0.064632738,0.058460642,0.076978819,0.070653317,0.181076586,0.118261007,0.06805293,0.358594379,0.081009251,0.668154371,0.361416817,0.117671203,0.14840695,0.480426652,0.267145516
Cuenca,0.048640435,0.03778926,0.110734049,0.000808232,0.073656446,0.207798947,0.016220179,0.106601474,0.568267379,0.013846567,0.967791904,0.945722393,0.93147501,0.967792196,0.945720302,0.02497075,0.993486535,0.192680679,0.000808232,0.40295392,0.271556289,0.298984315,0.777122182,0.73992551,0.355736812,0.999999699,0.336523602,0.194380194,0.377997973,0.00557255,0.005641632,0.0055123,0.005868648,0.007891737,0.006314479,0.076919037,0.023266081,0.039697543,0.568914331,0.128897655,0.369470961,0.462525383,0.066355507,0.168835272,0.465349661,0.277478813
Dos Hermanas,0.396579504,0.04892325,0.135459961,0.008879013,0.094691724,0.211794586,0.041536181,0.145471172,0.12577715,0.129855442,0.739671491,0.62859343,0.615613048,0.739672374,0.628591873,0.168042788,0.991159021,0.149224472,0.008879012,0.207291831,0.328828516,0.360573214,0.510971333,0.697969169,0.40117195,0.999999724,0.416872791,0.172628139,0.13410652,0.029956131,0.03191632,0.028246564,0.034561606,0.02091879,0.02377472,0.015649891,0.025849004,0.011342155,0.348335978,0.062642103,0.452206623,0.452881433,0.017632514,0.019741299,0,0.634177641
Elche/Elx,0.411164748,0.040452677,0.234474486,0.002868302,0.267589845,0.43894532,0.013924947,0.327755769,0.121311355,0.179054068,0.682806424,0.563211636,0.592749967,0.682808993,0.563209789,0.120483035,0.997542932,0.388425893,0.002868302,0.168920697,0.186501274,0.242790316,0.263664533,0.357730486,0.194608442,0.999998865,0.301554945,0.307338472,0.004166198,0.060186631,0.064491882,0.05643183,0.068348421,0.062367601,0.055763233,0.235623632,0.080538461,0.020793951,0.928607255,0.008384172,0.247339473,0.3077829,0.118038664,0.008034102,0.231931235,0.722299417
Fuenlabrada,0.170882918,0.060245869,0.275801937,0.003825624,0.412611276,0.540335401,0.02290704,0.499568748,0.264888679,0.190453822,0.663902553,0.542400405,0.602717645,0.663901824,0.542399223,0.038016045,0.991520881,0.154667222,0.003825624,0.28387623,0.45581903,0.471838717,0.223701642,0.236411731,0.31003666,0.999999751,0.446927606,0.769166372,0.157865105,0.047983774,0.051125463,0.045243768,0.047136199,0.034261221,0.040875445,0.008297593,0.014304917,0.003780718,0.864052533,0.045537715,0.610076903,0.913923992,0.168893183,0.019465276,0.224252234,0.068083327
