,Ciudades_x,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,Ciudad,Ciudades_y,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD
55,San Cristobal.txt,1.082293,1.253427,1.205466,0.331662,0.335698,1.082882,1.072537,0.531807,0.518625,San Cristóbal,San Cristobal.txt,1438.04495,0.814449,0.052825,1.018972,0.017127,6.116619,24.412439,4.596158
56,Santa Coloma.txt,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,Santa Coloma,Santa Coloma.txt,275.938786,9.182635,0.041476,2.952744,0.020184,5.446041,29.299202,4.79812
57,Santa Cruz.txt,1.049767,1.235287,1.199565,0.374101,0.374048,1.082768,1.072958,0.532703,0.516691,Santa cruz,Santa Cruz.txt,1017.423254,1.543634,0.048066,1.004617,0.013195,5.551545,24.463683,4.069826
58,Santander.txt,1.069452,1.275037,1.213704,0.273275,0.244573,1.080693,1.068258,0.556365,0.5255,Santander,Santander.txt,1216.584547,3.359808,0.123049,3.951181,0.032875,8.443763,45.332585,5.853981
59,Segovia.txt,1.064557,1.273825,1.215704,0.302834,0.295236,1.083889,1.070855,0.54725,0.518428,Segovia,Segovia.txt,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739
60,Sevilla.txt,1.037978,1.274277,1.220119,0.607119,0.38746,1.095675,1.081466,0.297969,0.51368,Sevilla,Sevilla.txt,5477.59719,8.674039,0.091677,64.275788,0.012557,5.440082,227.488289,3.549319
61,Soria.txt,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,Soria,Soria.txt,379.935971,4.003721,0.110511,2.281415,0.033063,8.137307,34.455219,5.682173
62,Terragona.txt,1.057172,1.259214,1.206575,0.263796,0.216383,1.076287,1.065068,0.54812,0.528677,Tarragona,Terragona.txt,1313.091165,5.279116,0.138017,2.281415,0.040985,8.785371,55.511952,6.577365
63,Terrasa.txt,1.035035,1.404373,1.348658,0.384417,0.417365,1.12768,1.119531,0.653962,0.675532,Terrassa,Terrasa.txt,1253.75102,1.919933,0.049161,1.306412,0.01567,5.899534,23.790631,4.719074
64,Teruel.txt,1.040073,1.276532,1.227719,0.326296,0.311237,1.088724,1.077512,0.561993,0.539894,Teruel,Teruel.txt,519.992981,4.61585,0.087497,2.474775,0.020931,6.973207,34.569297,4.802547
65,Toledo.txt,1.02563,1.259621,1.216064,0.311901,0.295576,1.084151,1.07396,-55179.7298,0.520097,Toledo,Toledo.txt,1699.657512,13.068388,0.217654,34.804116,0.022233,8.69961,110.391413,4.81292
66,Torrejon.txt,1.046314,1.279729,1.224598,0.28411,0.283542,1.084836,1.072528,0.559403,0.53502,Torrejon,Torrejon.txt,2003.737494,66.928393,0.339099,898.453967,0.024424,8.297531,821.120921,5.573816
67,Valencia.txt,1.042692,1.257228,1.213188,0.306693,0.276416,1.079785,1.070835,0.54507,0.5255,Valencia,Valencia.txt,2164.215491,2.51541,0.065111,4.506163,0.024895,6.216411,38.408851,4.992987
68,Valladolid.txt,1.029885,1.260936,1.224576,0.297016,0.25854,2.406995,1.07222,0.554657,0.537779,Valladolid,Valladolid.txt,2764.692882,2.285334,0.170702,9.992102,0.028855,8.463257,74.230483,5.39219
69,Vigo.txt,1.109125,1.296248,1.232625,0.278694,0.239418,1.086155,1.074478,0.565968,0.551518,Vigo,Vigo.txt,2673.672921,4.253406,0.076896,7.653004,0.03715,7.448687,40.795189,6.35969
70,Zamora.txt,1.047176,1.260158,1.217223,0.350769,0.330062,1.086805,1.076438,0.547378,0.528852,Zamora,Zamora.txt,551.778808,9.977708,0.075195,6.638329,0.018018,6.080244,52.258509,4.223122
71,Zaragoza.txt,1.04527,1.245742,1.197868,0.269641,0.255703,1.074214,1.064998,0.036638,0.504216,Zaragoza,Zaragoza.txt,4188.64345,1.57618,0.148265,6.420273,0.028926,8.365215,65.532054,5.374877
