Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,T_viv_col,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Sevilla,0.124199878,0.056018154,0.3018558,0.003161003,0.34591538,0.564239318,0.050798448,0.532158382,0.073964005,0.266661265,1,1,1,1,1,0.470178232,0.997907533,0.251287464,0.011591344,0.933987603,0.895739054,0.896994433,0.94870212,0.853476491,0.963692259,9.22E-07,0.74626972,0.745337998,0.668486405,0.207331628,0.211090296,0.204051929,0.241187614,0.22024499,0.203278075,0.35956389,0.314681158,0.144465291,0.600485978,0.201008387,0.660443953,0.446148221,0.221724387,0.251640528,0.518971579,0.187725568
Soria,0.085641163,0.059820964,0.325895977,0.002539268,0.474524944,0.62599552,0.0419612,0.609672402,0.726277027,0.324892279,0.928292897,0.841989733,0.889366626,0.928293331,0.841989618,0.027928967,0.994692279,0.116819324,0.002539268,0.94328412,0.886021268,0.888052804,0.556598963,0.5044494,0.94904605,1.45E-06,0.751511961,0.500685927,0.779972169,0.011941297,0.012090876,0.011810778,0.0147006,0.015407871,0.012089834,0.063584823,0.025976316,0.018761726,0.418993089,0.043860808,0.489862006,0.725246334,0.110526737,0.198370029,0.511668816,0.250761522
Tarragona,0.295983173,0.078877077,0.407010932,0.002539268,0.58822263,0.675850486,0.067605088,0.705722602,0.210144268,0.27294775,0.992743783,0.982034397,0.99278934,0.992744713,0.98203341,0.077288014,0.995685976,0.139971575,0.007324328,0.953158571,0.889688224,0.88715945,0.555804644,0.474039688,0.948799289,1.48E-06,0.768780092,0.817332762,0.741811175,0.04093165,0.042902402,0.039212031,0.046705258,0.042914417,0.039674192,0.096781509,0.050763875,0.022514071,0.284511704,0.169053502,0.467119047,0.447127891,0.190405045,0.515562543,0.341245312,0.441754299
Terrassa,0.282607343,0.028686375,0.144975361,0.001454067,0.2248981,0.453845708,0.028973359,0.506336076,0.22009048,0.309288294,0.94233237,0.869893677,0.903427535,0.942332343,0.869893052,0.207176396,0.999658761,0.673193236,0.001454067,0.933199594,0.992249229,0.991628941,0.809946905,0.914339732,0.997316807,1.77E-06,0.982330521,0.985651273,0.708788268,0.067060002,0.070756207,0.063834805,0.074337695,0.066431384,0.063042064,0.044378543,0.103905265,0.071294559,0.879523304,0.062382574,0.296179415,0.519126978,0.075360298,0.092468184,0.514539121,0.486128234
Teruel,0.117211338,0.068966993,0.258027892,0.002754482,0.30040473,0.536442381,0.042100129,0.515292365,0.530658521,0.343603107,0.906774419,0.801537468,0.853834054,0.906774686,0.80153667,0.048278607,0.995939153,0.147390782,0.002754482,0.937741914,0.901924127,0.902706017,0.687488939,0.681840488,0.959884833,1.52E-06,0.785091387,0.515164526,0.754121173,0.010867447,0.011124919,0.010642784,0.014381129,0.012420584,0.01000961,0.048059311,0.01976473,0.041275797,0.250895293,0.046264222,0.422204436,0.757662145,0.172160372,0.025002326,0.305459955,0.415454785
Toledo,0.383118886,0.195259253,0.641859752,0.038737784,0.319091222,0.669252971,0.134439898,0.516405343,0.162349605,0.318503532,0.941925374,0.869066916,0.922265415,0.941926125,0.869066047,0.063437261,0.980210127,0.034256219,0.038737784,0.924719937,0.889975787,0.894136435,0.657159412,0.647531251,0.956720589,-0.149319697,0.756303413,0.605118428,0.766752301,0.025732518,0.026347272,0.025196102,0.030030203,0.02476216,0.023767712,0.042982992,0.026322493,0.082551595,0.128798658,0.231400636,0.514172705,0.294513347,0.27861231,0.135103107,0.192699371,0.601556738
Torrejón de Ardoz,0.451661391,1,1,1,0.35053677,0.638321404,1,0.598046168,0.137712068,1,0.570129529,0.376571998,0.568521164,0.570130262,0.376572364,0.048002405,0.551997951,0.001564421,1,0.943368872,0.904182944,0.900411237,0.5986052,0.621167842,0.955444914,1.51E-06,0.778003819,0.501136395,0.652322843,0.039839207,0.042050996,0.037909268,0.042946639,0.032136024,0.033759904,0.011530746,0.025911,0.013133208,0.122970579,1,0.147010847,0.224393512,0.038434425,0.047121684,0.164858677,0.045383836
Valencia,0.48783465,0.037583601,0.192011772,0.005015463,0.35729663,0.478222763,0.04677612,0.535725747,0.127500609,0.377417012,0.884011306,0.761457705,0.872192188,0.884011252,0.761456961,0.270020634,0.998618031,0.336900955,0.005015463,0.940103235,0.888285031,0.892021796,0.646186423,0.605556602,0.953936731,1.47E-06,0.764160231,0.812390009,0.742506958,0.239963955,0.244734696,0.235801151,0.255251758,0.274238813,0.249126298,0.588870475,0.373563857,0.120075047,0.97497868,0.068980533,0.625061098,0.290226116,0.146197985,0.174988724,1,0.135521883
Valladolid,0.623187936,0.034145957,0.503398712,0.01112144,0.414131121,0.651070553,0.090401403,0.578558489,0.099808085,0.307120436,0.949579874,0.884811022,0.912859734,0.949580006,0.884809821,0.131569969,0.997084957,0.194087978,0.01112144,0.928556294,0.89090489,0.900395061,0.62579748,0.566394868,0.955170537,1.50E-06,0.782015842,0.610400949,0.762524085,0.089741898,0.090254901,0.089294268,0.090583975,0.10333662,0.097802323,0.178979503,0.122513896,0.170731707,0.227273552,0.090006157,0.60766868,0.680137178,0.130893746,0.096203492,0.433053937,0.244128708
Vigo,0.602671176,0.063551593,0.226765635,0.00851797,0.533182157,0.573020619,0.049682316,0.682367023,0.103205926,0.400531587,0.860544975,0.722706907,0.813362986,0.860545377,0.722706595,0.282457879,0.997837484,0.245067049,0.008517971,1,0.915854319,0.906313256,0.587193966,0.524503468,0.957182041,1.53E-06,0.801994524,0.632251581,0.704560051,0.088970321,0.090201487,0.087896044,0.106889875,0.093789708,0.086673467,0.183794156,0.12141005,0.108818011,0.175768042,0.04527541,0.454694416,0.394491832,0.09136298,0.084588535,0.256583892,0.731574465
Zamora,0.124376164,0.149080346,0.221749401,0.007388613,0.258596934,0.467747561,0.063642891,0.453122588,0.500089335,0.291903399,0.963616857,0.914772954,0.914036198,0.963617929,0.914772459,0.059611042,0.988662052,0.058306215,0.007388613,0.944146061,0.8903552,0.894988614,0.739052294,0.723081237,0.958928077,1.48E-06,0.76903457,0.673827044,0.689573967,0.018288737,0.018211608,0.018356037,0.020839099,0.02551698,0.02067123,0.088826864,0.043585607,0.031894934,0.457826381,0.061401575,0.729480665,0.533672803,0.069613007,0.041754452,0.466996526,0.308087772
Zaragoza,0.944159868,0.023550244,0.437232195,0.007145912,0.415150123,0.643528272,0.079808043,0.57670088,0.065877965,0.33184693,0.92369024,0.833110507,0.881489384,0.923690983,0.833109859,0.229500073,0.999167416,0.457644782,0.007145912,0.942427589,0.880169683,0.880757447,0.568119759,0.560179729,0.94873693,9.91E-08,0.733209924,0.708672611,0.761078998,0.204477424,0.20986113,0.199779766,0.186918911,0.213590686,0.210209378,0.247849978,0.229495562,0.337711069,0.311402864,0.099474537,0.420597167,0.75821951,0.050034555,0.057312539,0.509557571,0.219771777
