,ciudades,Ciudad Coches,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MN,FRAC_MD,SQUARE_MN,SQUARE_MD,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec
56,Santa Coloma,Santa Coloma de Gramenet,8,2.899194,0.850595,0.708782,1.233682,0.689198,0.810036,0.593276,6653,0.989299,93.451637,29527.44262,Santa_Coloma.shp,2.440079648,2.179385759,25.5793274,8.273807802,0.314589044,0.278266951,43.15656515,17.77797824,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,275.938786,9.182635,0.041476,2.952744,0.020184,5.446041,29.299202,4.79812,10799,120443,59527,60916,57124,48527,45646,498
57,Santa cruz,Santa Cruz de Tenerife,8,0.7863,0.727781,0.750957,1.390129,0.728807,0.858236,0.668511,21167,0.999013,1012.747587,10046.16814,Santa_Cruz_Tenerife_class.shp,0.739465334,2.971492933,14.5187984,19.0880732,0.413263605,0.604738863,32.26989874,29.39426893,1.049767,1.235287,1.199565,0.374101,0.374048,1.082768,1.072958,0.532703,0.516691,1017.423254,1.543634,0.048066,1.004617,0.013195,5.551545,24.463683,4.069826,12547,209194,99840,109354,176209,96313,78572,5125
58,Santander,Santander,8,0.657579,0.672155,0.777239,1.501657,0.778447,0.888274,0.722145,9887,0.996752,307.904062,39511.80574,Santander_class.shp,0.771991578,6.903087829,19.01689502,17.76517482,0.843979824,0.698586902,31.63147502,22.368809,1.069452,1.275037,1.213704,0.273275,0.244573,1.080693,1.068258,0.556365,0.5255,1216.584547,3.359808,0.123049,3.951181,0.032875,8.443763,45.332585,5.853981,14202,173375,79936,93439,117011,92442,73395,8286
59,Segovia,Segovia,8,1.451914,0.616999,0.802926,1.624175,0.815801,0.91763,0.781063,5383,0.994846,194.011864,28400.15682,Segovia_class.shp,0.628881795,16.82703858,15.53102878,23.03909757,2.210847803,0.167142189,25.54959821,16.04636507,1.064557,1.273825,1.215704,0.302834,0.295236,1.083889,1.070855,0.54725,0.518428,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739,13441,52057,24328,27729,36270,28894,21254,2649
60,Sevilla,Sevilla,9,0.164306,8.377118,0.191251,0.212267,0.228457,0.215157,0.096607,59749,0.988266,85.220226,642757.8832,Sevilla_class.shp,1.769013991,10.55402092,17.05447754,10.6513424,1.583866688,1.917296172,33.93267992,22.53730237,1.037978,1.274277,1.220119,0.607119,0.38746,1.095675,1.081466,0.297969,0.51368,5477.59719,8.674039,0.091677,64.275788,0.012557,5.440082,227.488289,3.549319,12490,691395,328013,363382,485440,337303,268435,20612
61,Soria,Soria,8,2.105618,0.749789,0.745836,1.369775,0.737823,0.852384,0.658723,3438,0.993995,166.535215,22814.152,Soria_class.shp,1.02237651,3.16006562,16.31025216,37.93921379,0.674618665,0.947700241,23.57955247,16.36622055,1.04622,1.254024,1.20779,0.264173,0.230264,1.076411,1.065345,0.536362,0.516802,379.935971,4.003721,0.110511,2.281415,0.033063,8.137307,34.455219,5.682173,14573,39821,18788,21033,29588,23597,15965,3645
62,Tarragona,Tarragona,8,0.609249,0.629911,0.797619,1.597604,0.823623,0.911565,0.768285,9514,0.994988,199.540585,65805.71883,Tarragona_class.shp,0.694231218,12.17989777,15.55301158,23.39023286,1.162169448,2.463067373,15.72582008,28.83156967,1.057172,1.259214,1.206575,0.263796,0.216383,1.076287,1.065068,0.54812,0.528677,1313.091165,5.279116,0.138017,2.281415,0.040985,8.785371,55.511952,6.577365,13860,136496,66666,69830,94004,65723,52391,5548
63,Terrassa,Terrassa,8,0.638085,0.713778,0.757116,1.41517,0.749488,0.865275,0.680553,25503,0.998958,959.690368,13064.12008,Terrasa_clas.shp,2.146106915,4.494514233,9.861473011,27.15666178,0.459974344,0.44176089,23.71182654,31.72768228,1.035035,1.404373,1.348658,0.384417,0.417365,1.12768,1.119531,0.653962,0.675532,1253.75102,1.919933,0.049161,1.306412,0.01567,5.899534,23.790631,4.719074,13243,223627,109948,113679,149620,101739,83249,2544
64,Teruel,Teruel,8,1.538482,0.79297,0.728547,1.303966,0.708345,0.832625,0.627075,5943,0.995241,210.117254,24747.75254,Teruel_class.shp,0.612204498,3.333225824,14.05755242,39.63495541,1.050809995,0.119447027,14.07670123,27.11510359,1.040073,1.276532,1.227719,0.326296,0.311237,1.088724,1.077512,0.561993,0.539894,519.992981,4.61585,0.087497,2.474775,0.020931,6.973207,34.569297,4.802547,14090,36240,17287,18953,28945,19022,13218,2755
65,Toledo,Toledo,8,0.470683,0.735045,0.756789,1.413825,0.765116,0.864902,0.679906,7809,0.979523,48.834958,348041.156,Toledo_class.shp,0.314278985,16.67185861,17.11969161,15.40663401,1.700557438,0.645446531,8.880285029,39.26124778,1.02563,1.259621,1.216064,0.311901,0.295576,1.084151,1.07396,-55179.7298,0.520097,1699.657512,13.068388,0.217654,34.804116,0.022233,8.69961,110.391413,4.81292,14326,85811,40941,44870,60442,37923,31386,2464
66,Torrejon,Torrejón de Ardoz,8,0.399254,2.307808,0.45807,0.612619,0.471648,0.523509,0.294608,5909,0.551611,2.230206,8984539.673,Torrejon_clas.shp,0.300058007,72.04759211,4.894815203,11.73851288,0.234591027,0.22512086,7.597285006,2.962024905,1.046314,1.279729,1.224598,0.28411,0.283542,1.084836,1.072528,0.559403,0.53502,2003.737494,66.928393,0.339099,898.453967,0.024424,8.297531,821.120921,5.573816,12188,132853,65343,67510,86439,49216,44581,661
67,Valencia,Valencia,8,0.369649,0.871006,0.710258,1.238763,0.723575,0.811723,0.595719,33239,0.997918,480.279041,45061.62681,Valencia_class.shp,2.379025634,4.969881312,20.81178784,15.18235964,0.892344167,0.835997541,46.08362235,8.844981523,1.042692,1.257228,1.213188,0.306693,0.276416,1.079785,1.070835,0.54507,0.5255,2164.215491,2.51541,0.065111,4.506163,0.024895,6.216411,38.408851,4.992987,13873,800215,380293,419922,513747,419994,328979,33757
68,Valladolid,Valladolid,8,0.289363,0.708775,0.762939,1.439438,0.757313,0.87193,0.692223,16196,0.996386,276.687811,99921.02196,Valladolid_class.shp,0.554565569,6.484726891,20.23269672,35.57945567,0.798932155,0.459606087,19.95669411,15.93332281,1.029885,1.260936,1.224576,0.297016,0.25854,2.406995,1.07222,0.554657,0.537779,2764.692882,2.285334,0.170702,9.992102,0.028855,8.463257,74.230483,5.39219,14247,299265,140247,159018,182319,158259,129151,10260
69,Vigo,Vigo,8,0.299214,0.92435,0.691404,1.175722,0.67477,0.790176,0.565403,34770,0.997138,349.362521,76530.04423,Vigo_class.shp,0.428888023,3.261984294,15.13932598,20.63672613,0.557649427,0.404116363,11.82431516,47.74699461,1.109125,1.296248,1.232625,0.278694,0.239418,1.086155,1.074478,0.565968,0.551518,2673.672921,4.253406,0.076896,7.653004,0.03715,7.448687,40.795189,6.35969,13164,296692,140164,156528,215138,143638,114455,10536
70,Zamora,Zamora,8,1.449856,0.673657,0.774217,1.488181,0.758289,0.88482,0.715664,7338,0.987969,83.120135,66383.29042,Zamora_class.shp,1.117132834,4.423835616,24.28850055,27.91758554,0.424894784,0.199479246,21.52089153,20.10767991,1.047176,1.260158,1.217223,0.350769,0.330062,1.086805,1.076438,0.547378,0.528852,551.778808,9.977708,0.075195,6.638329,0.018018,6.080244,52.258509,4.223122,12884,60988,28299,32689,41943,39079,27297,5092
71,Zaragoza,Zaragoza,8,0.190993,0.765839,0.742138,1.35533,0.731288,0.848158,0.651776,28251,0.998467,652.408945,64202.72871,Zaragoza_class.shp,0.759847791,7.166900881,14.00403742,39.66411238,0.305394384,0.273807024,23.48225866,14.34364147,1.04527,1.245742,1.197868,0.269641,0.255703,1.074214,1.064998,0.036638,0.504216,4188.64345,1.57618,0.148265,6.420273,0.028926,8.365215,65.532054,5.374877,14220,681877,326103,355774,376213,327112,277588,14208
