,PR,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,IEI,index_tool,ID,index,NP,DIVISION,SPLIT,MESH,variable,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
28,8,1.015207,0.677647,0.775695,1.494749,0.7899,0.886509,0.718822,0,Guadalajara.txt,28,Guadalajara.txt,7516,0.996161,260.502719,30249.85776,Guadalajara_class.shp,1.474126118,5.185273581,16.5472776,33.08551424,2.224587785,0.599759579,18.94362021,21.93984089
29,8,1.271181,0.83472,0.705742,1.223298,0.669583,0.806562,0.588282,0,Hospitalet.txt,29,Hospitalet.txt,10485,0.996065,254.110685,24766.22439,Hospitalet_de_Llobregat_class.shp,1.007766588,2.463846665,20.79592604,37.89075394,0.397821571,0.812028081,32.37917847,4.252678643
30,8,1.105321,0.672091,0.777305,1.50195,0.784593,0.888348,0.722285,0,Huelva.txt,30,Huelva.txt,9937,0.988699,88.488862,81792.38016,Huelva_class.shp,1.639460011,9.137241276,30.97576606,22.86379262,0.863142065,0.446594343,23.24439887,10.82960476
31,8,2.06037,0.82612,0.72376,1.286486,0.727665,0.827154,0.618669,0,Huesca.txt,31,Huesca.txt,3847,0.996258,267.232724,14529.65173,Huesca_class.shp,1.476991681,8.280800709,14.77907294,43.77816207,0.317369712,0.766063212,21.92581989,8.675719798
32,8,1.077273,0.634194,0.793492,1.577414,0.796878,0.906848,0.758576,0,Jaen.txt,32,Jaen.txt,12873,0.996318,271.621896,27340.06078,Jaen_class.shp,1.188939386,8.65018791,22.22008346,22.82412436,0.524742753,0.530847461,20.82115597,23.2399187
33,8,0.366471,0.710242,0.76436,1.445449,0.770671,0.873554,0.695114,0,Jerez.txt,33,Jerez.txt,27839,0.995784,237.192296,92034.2474,Jerez_de_la_Frontera_class.shp,0.942903803,13.89946354,12.21691798,23.12638675,0.818010371,0.540065787,11.9141192,36.54213256
34,8,0.672603,0.665155,0.779888,1.513618,0.776091,0.8913,0.727896,0,Laganes.txt,34,Leganes.txt,8303,0.982034,55.661289,213687.0481,Leganes.shp,0.644739285,23.15812653,19.62997727,30.14009363,0.586674277,0.556979416,17.66001629,7.623393303
35,8,0.50741,0.687819,0.770551,1.472074,0.782022,0.880629,0.707918,0,Las_Palmas.txt,35,Las_Palmas.txt,37900,0.998696,766.602228,20566.54295,Las_Palmas_Gran_Canaria_class.shp,2.334813533,6.776839401,17.48749089,11.97842239,0.5785812,0.971454562,30.24429742,29.6281006
36,8,0.850704,0.687343,0.768489,1.46313,0.770071,0.878274,0.703617,0,Leon.txt,36,Leon.txt,10009,0.994554,183.625222,51212.84974,Leon_class.shp,2.221450988,3.365608961,24.46232624,28.84845073,0.622502926,1.212641379,26.53995649,12.72706229
37,8,0.782956,0.706056,0.764,1.443922,0.756322,0.873142,0.69438,0,Lleida.txt,37,LLeida.txt,9098,0.996503,285.963493,35730.7559,Lleida_class.shp,0.59529133,7.719892586,17.73560412,35.09503345,0.290183155,0.618889635,23.06261972,14.88248601
38,8,0.938932,0.761619,0.738439,1.341086,0.717721,0.84393,0.644926,0,Logronio.txt,38,Logronio.txt,5382,0.997344,376.517135,22629.31015,Logronio_class.shp,1.138860474,12.01304102,15.42243682,34.77140623,0.248709409,0.176393749,31.65587283,4.57327947
39,8,1.243941,0.668627,0.781168,1.519453,0.797964,0.892764,0.730703,0,Lugo.txt,39,Lugo.txt,9660,0.997613,419.017367,15348.22747,Lugo_class.shp,2.131199021,9.270127611,15.8464165,20.82275622,0.731994035,0.702100673,33.53081465,16.96459129
